Sample	Target	Reads
N17	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	0
N17	perk_nuc_scf7180000003687_22703-23724_2-1021_1	34017
N17	perk_nuc_scf7180000003411_95621-97517_1-1896_1	33701
N17	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	1191
N17	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	1884
N17	perk_nuc_scf7180000003687_28378-29539_1-1161_1	78496
N17	perk_nuc_scf7180000003660_28831-29439_1	1815
N17	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N17	perk_nuc_scf7180000003435_21523-22534_1-1011_1	481
N17	perk_nuc_scf7180000003334_14360-15471_115-1021_1	150819
N17	paramoeba_nuc_scf7180000003402_66620-67222_1	86436
N17	perk_nuc_scf7180000003316_105075-106432_82-1354_1	6658
N17	paramoeba_nuc_scf7180000003517_25093-25627_1	2237
N17	perk_nuc_scf7180000003478_19048-20119_1-1071_1	30
N17	perk_nuc_scf7180000003897_23035-23940_1-905_1	1032
N17	perk_nuc_scf7180000003532_6044-7296_4-1252_1	21147
N17	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	6384
N17	perk_nuc_scf7180000003402_72046-72895_1	4614
N17	perk_nuc_scf7180000003709_72424-73568_3-1144_1	66865
N17	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	15
N17	perk_nuc_scf7180000003560_925-2762_1-1837_901	264978
N17	perk_nuc_scf7180000003326_75881-76823_1-942_1	8245
N17	perk_nuc_scf7180000003897_16527-17683_3-1156_1	3128482
N17	perk_nuc_scf7180000003913_1473-2529_1-1056_1	137721
N17	perk_nuc_scf7180000003454_34019-35215_1-1193_1	459
N17	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	28
N17	perk_nuc_scf7180000003515_97393-101483_18-3600_901	55113
N17	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	4153
N17	paramoeba_mito_scf7180000003282_5381-6781_1	113615
N17	paramoeba_nuc_scf7180000004653_9090-9584_1	314873
N18	paramoeba_mito_scf7180000003282_17181-17683_1	1026
N18	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N18	paramoeba_nuc_scf7180000003537_4360-5238_1	39
N18	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	43343
N18	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	0
N18	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	228507
N18	paramoeba_mito_scf7180000003282_72335-73819_451	60502
N18	paramoeba_mito_scf7180000003282_2577-3764_451	5649
N18	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	2229
N18	paramoeba_mito_scf7180000003282_37622-38599_451	26216
N18	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	9
N18	perk_nuc_scf7180000003402_73894-74460_1	49190
N18	perk_nuc_scf7180000003591_3416-4408_1-990_1	71364
N18	perk_nuc_scf7180000003623_28906-30006_1-1100_1	37855
