Sample	Target	Reads
N13	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	2613
N13	perk_nuc_scf7180000003602_54737-56021_1-1284_1	569793
N13	perk_nuc_scf7180000003687_22701-24808_4-2107_901	479485
N13	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	8544
N13	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	1826
N13	perk_nuc_scf7180000003687_22703-23724_2-1021_1	763312
N13	perk_nuc_scf7180000003411_95621-97517_1-1896_1	211312
N13	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	41313
N13	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	155103
N13	perk_nuc_scf7180000003687_28378-29539_1-1161_1	911589
N13	perk_nuc_scf7180000003660_28831-29439_1	32515
N13	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N13	perk_nuc_scf7180000003435_21523-22534_1-1011_1	7926
N13	perk_nuc_scf7180000003334_14360-15471_115-1021_1	813711
N13	paramoeba_nuc_scf7180000003402_66620-67222_1	1183421
N13	perk_nuc_scf7180000003316_105075-106432_82-1354_1	271065
N13	paramoeba_nuc_scf7180000003517_25093-25627_1	1174
N13	perk_nuc_scf7180000003478_19048-20119_1-1071_1	888
N13	perk_nuc_scf7180000003897_23035-23940_1-905_1	19108
N13	perk_nuc_scf7180000003532_6044-7296_4-1252_1	416988
N13	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	2499
N13	perk_nuc_scf7180000003402_72046-72895_1	1440
N13	perk_nuc_scf7180000003709_72424-73568_3-1144_1	945830
N13	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	5
N13	perk_nuc_scf7180000003560_925-2762_1-1837_901	568856
N13	perk_nuc_scf7180000003326_75881-76823_1-942_1	85722
N13	perk_nuc_scf7180000003897_16527-17683_3-1156_1	2642208
N13	perk_nuc_scf7180000003913_1473-2529_1-1056_1	476432
N13	perk_nuc_scf7180000003454_34019-35215_1-1193_1	7481
N13	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	871
N13	perk_nuc_scf7180000003515_97393-101483_18-3600_901	850597
N13	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	5995
N13	paramoeba_mito_scf7180000003282_5381-6781_1	314273
N13	paramoeba_nuc_scf7180000004653_9090-9584_1	973427
N16	paramoeba_mito_scf7180000003282_17181-17683_1	503
N16	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N16	paramoeba_nuc_scf7180000003537_4360-5238_1	51
N16	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	8273
N16	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	3
N16	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	75356
N16	paramoeba_mito_scf7180000003282_72335-73819_451	11585
N16	paramoeba_mito_scf7180000003282_2577-3764_451	10088
N16	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	1333
N16	paramoeba_mito_scf7180000003282_37622-38599_451	18661
N16	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	0
N16	perk_nuc_scf7180000003402_73894-74460_1	34257
N16	perk_nuc_scf7180000003591_3416-4408_1-990_1	67581
N16	perk_nuc_scf7180000003623_28906-30006_1-1100_1	30724
N16	perk_nuc_scf7180000003752_5410-7175_739-1757_1	37345
N16	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N16	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	0
N16	perk_nuc_scf7180000003402_73455-74100_1	1252863
N16	perk_nuc_scf7180000003352_71298-72206_1-908_1	1464113
N16	perk_nuc_scf7180000003591_3414-9913_1-2291_901	466
N16	perk_nuc_scf7180000003334_39138-40969_372-1777_1	7077
N16	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	14647
N16	perk_nuc_scf7180000003602_54737-56021_1-1284_1	82772
N16	perk_nuc_scf7180000003687_22701-24808_4-2107_901	107816
N16	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	0
N16	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_1351	8
N16	perk_nuc_scf7180000003687_22703-23724_2-1021_1	67069
N16	perk_nuc_scf7180000003411_95621-97517_1-1896_1	37802
N16	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1	4119
N16	paramoeba_nuc_4f7562e3-280b-4809-b18d-cd20dff1ce4f_1-1988_451	2377
N16	perk_nuc_scf7180000003687_28378-29539_1-1161_1	79470
N16	perk_nuc_scf7180000003660_28831-29439_1	1709
N16	perk_nuc_scf7180000003435_20352-22534_1-2182_901	0
N16	perk_nuc_scf7180000003435_21523-22534_1-1011_1	14181
N16	perk_nuc_scf7180000003334_14360-15471_115-1021_1	124608
N16	paramoeba_nuc_scf7180000003402_66620-67222_1	66429
N16	perk_nuc_scf7180000003316_105075-106432_82-1354_1	7915
N16	paramoeba_nuc_scf7180000003517_25093-25627_1	7636
N16	perk_nuc_scf7180000003478_19048-20119_1-1071_1	104
N16	perk_nuc_scf7180000003897_23035-23940_1-905_1	2979
N16	perk_nuc_scf7180000003532_6044-7296_4-1252_1	19557
N16	paramoeba_nuc_b2668679-a471-4ab8-bea4-f5898a7a47e4_2-467_1	11475
N16	perk_nuc_scf7180000003402_72046-72895_1	8945
N16	perk_nuc_scf7180000003709_72424-73568_3-1144_1	38032
N16	paramoeba_nuc_91d69197-72f2-4926-90b3-b5a468a5a855_27-765_1	31
N16	perk_nuc_scf7180000003560_925-2762_1-1837_901	291769
N16	perk_nuc_scf7180000003326_75881-76823_1-942_1	22444
N16	perk_nuc_scf7180000003897_16527-17683_3-1156_1	1511932
N16	perk_nuc_scf7180000003913_1473-2529_1-1056_1	573610
N16	perk_nuc_scf7180000003454_34019-35215_1-1193_1	8126
N16	perk_nuc_scf7180000003515_97413-101057_1-3580_1501	37
N16	perk_nuc_scf7180000003515_97393-101483_18-3600_901	40266
N16	paramoeba_nuc_1470934d-65f8-451a-be8f-f65c6f0f857d_1-523_1	4793
N16	paramoeba_mito_scf7180000003282_5381-6781_1	83175
N16	paramoeba_nuc_scf7180000004653_9090-9584_1	296647
N17	paramoeba_mito_scf7180000003282_17181-17683_1	723
N17	perk_mito_lcl_KT261385.1_cds_ALR73785.1_1_2251	0
N17	paramoeba_nuc_scf7180000003537_4360-5238_1	44
N17	paramoeba_mito_844d98a6-101b-424e-82ab-b4beb7985a5e_16-472_1	10422
N17	perk_mito_lcl_KT261385.1_cds_ALR73787.1_3_1	4
N17	paramoeba_mito_d9f872cc-4915-4218-bcca-14a2b2446441_79-629_1	115672
N17	paramoeba_mito_scf7180000003282_72335-73819_451	46603
N17	paramoeba_mito_scf7180000003282_2577-3764_451	5877
N17	paramoeba_nuc_2474b264-82c9-41bc-83f7-da2b5b94a433_93-564_1	557
N17	paramoeba_mito_scf7180000003282_37622-38599_451	26073
N17	perk_mito_lcl_KT261384.1_cds_ALR73784.1_2_1	0
N17	perk_nuc_scf7180000003402_73894-74460_1	20795
N17	perk_nuc_scf7180000003591_3416-4408_1-990_1	54491
N17	perk_nuc_scf7180000003623_28906-30006_1-1100_1	43320
N17	perk_nuc_scf7180000003752_5410-7175_739-1757_1	35159
N17	perk_nuc_scf7180000003610_11439-12994_245-1203_1	0
N17	paramoeba_nuc_9042c6bc-20c4-4666-9a3b-25d3d5e60837_173-683_1	0
N17	perk_nuc_scf7180000003402_73455-74100_1	2335360
N17	perk_nuc_scf7180000003352_71298-72206_1-908_1	2584309
N17	perk_nuc_scf7180000003591_3414-9913_1-2291_901	1155
N17	perk_nuc_scf7180000003334_39138-40969_372-1777_1	5088
N17	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1801	9625
N17	perk_nuc_scf7180000003602_54737-56021_1-1284_1	51351
N17	perk_nuc_scf7180000003687_22701-24808_4-2107_901	151593
N17	paramoeba_nuc_9c47213e-a9a3-4bd8-b423-45221f6c0675_1-2364_1351	0
